Segment_Label,Count,Total_Amount_Spent,Days_Since_Last_Order,Satisfaction_Score,Total_Orders_This_Month,Eco_Conscious,Eco_Warrior,Low_Interest,Eco_Strength_Pct
At-Risk Customers,896,11333.15513392857,8.357142857142858,3.1026785714285716,2.642857142857143,104,11,86,25.70480928689884
Frequent Loyal Customers,894,4182.468680089485,4.5794183445190155,3.1331096196868007,3.1096196868008947,123,9,89,27.7526395173454
High-Value Customers,925,17790.902702702704,3.985945945945946,3.0313513513513515,1.7254054054054053,118,9,108,21.98581560283688
Value Seeking Customers,1285,10786.113618677044,1.9509727626459143,3.079377431906615,2.751750972762646,157,13,159,19.65552178318136
